name,url,tripadvisor_id,num_reviews
TOPTOUR Portugal,https://www.tripadvisor.com/Attraction_Review-g189158-d11696748-Reviews-TOPTOUR_Portugal-Lisbon_Lisbon_District_Central_Portugal.html,11696748,1774
Fado in Chiado,https://www.tripadvisor.com/Attraction_Review-g189158-d6981124-Reviews-Fado_in_Chiado-Lisbon_Lisbon_District_Central_Portugal.html,6981124,888
THE SPA by Corinthia Lisbon,https://www.tripadvisor.com/Attraction_Review-g189158-d12644990-Reviews-THE_SPA_by_Corinthia_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,12644990,151
Duque Brewpub,https://www.tripadvisor.com/Attraction_Review-g189158-d10130233-Reviews-Duque_Brewpub-Lisbon_Lisbon_District_Central_Portugal.html,10130233,303
Puzzle Room,https://www.tripadvisor.com/Attraction_Review-g189158-d7261976-Reviews-Puzzle_Room-Lisbon_Lisbon_District_Central_Portugal.html,7261976,1243
Maria Alegria Tours,https://www.tripadvisor.com/Attraction_Review-g189158-d25439638-Reviews-Maria_Alegria_Tours-Lisbon_Lisbon_District_Central_Portugal.html,25439638,45
Monument to the Restorers,https://www.tripadvisor.com/Attraction_Review-g189158-d10536547-Reviews-Monument_to_the_Restorers-Lisbon_Lisbon_District_Central_Portugal.html,10536547,152
Duque da Rua,https://www.tripadvisor.com/Attraction_Review-g189158-d10619963-Reviews-Duque_da_Rua-Lisbon_Lisbon_District_Central_Portugal.html,10619963,268
The Escape Hunt Experience - Lisboa,https://www.tripadvisor.com/Attraction_Review-g189158-d28632810-Reviews-The_Escape_Hunt_Experience_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,28632810,3107
Cinco Lounge,https://www.tripadvisor.com/Attraction_Review-g189158-d583677-Reviews-Cinco_Lounge-Lisbon_Lisbon_District_Central_Portugal.html,583677,363
Conserveira de Lisboa,https://www.tripadvisor.com/Attraction_Review-g189158-d1908043-Reviews-Conserveira_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,1908043,344
EcoMassage & Esthetics Aurea,https://www.tripadvisor.com/Attraction_Review-g189158-d24883715-Reviews-EcoMassage_Esthetics_Aurea-Lisbon_Lisbon_District_Central_Portugal.html,24883715,583
Ginjinha Sem Rival,https://www.tripadvisor.com/Attraction_Review-g189158-d1570913-Reviews-Ginjinha_Sem_Rival-Lisbon_Lisbon_District_Central_Portugal.html,1570913,392
Luvaria Ulisses,https://www.tripadvisor.com/Attraction_Review-g189158-d4009805-Reviews-Luvaria_Ulisses-Lisbon_Lisbon_District_Central_Portugal.html,4009805,280
Foxtrot,https://www.tripadvisor.com/Attraction_Review-g189158-d245810-Reviews-Foxtrot-Lisbon_Lisbon_District_Central_Portugal.html,245810,275
Bar A Parodia,https://www.tripadvisor.com/Attraction_Review-g189158-d4005087-Reviews-Bar_A_Parodia-Lisbon_Lisbon_District_Central_Portugal.html,4005087,145
Red Frog - Speakeasy Bar,https://www.tripadvisor.com/Attraction_Review-g189158-d8493867-Reviews-Red_Frog_Speakeasy_Bar-Lisbon_Lisbon_District_Central_Portugal.html,8493867,350
